,ideal answer,students answer,lable
10,territories konkan coast possession portuguese bassein chaul mumbai bajirao peshwa maratha empire dealt portuguese adopting policy confrontation consolidation used military force diplomatic negotiations weaken portuguese influence region bajirao decisive victories portuguese battle bassein 1739 battle vasai 1739 significantly reduced portuguese control konkan coast,territories occupied portuguese konkan coast goa mangalore kozhikode bajirao mughal emperor dealt portuguese forming alliances expand maratha empires territory bajirao peaceful approach towards portuguese allowed strengthen control konkan coast leading increased tensions region,incorrect
11,nationalism closely linked democracy revolution early mid19th century seen uprisings 1848 across europe however failure revolutions nationalism began shift away democratic ideology towards exclusive authoritarian form shift seen context german unification process prussianled unification otto von bismarck emphasized strong centralized state militaristic values democratic principles following defeat revolutions 1848 many nationalist movements germany turned away liberal democratic ideas towards conservative militaristic vision nationhood bismarcks policy blood iron emphasized use military force realpolitik achieve unification rather relying popular uprisings democratic reforms authoritarian approach nationalism culminated establishment german empire 1871 dominated prussia led conservative junker class way nationalism germany shifted away earlier association democracy revolution towards exclusive statecentric form prioritized militarism authoritarianism,nationalisms association democracy revolution began change failures 1848 revolutions europe case german unification process led prussia otto von bismarck nationalism became closely tied militarism authoritarianism rather democratic ideals prussianled unification germany culminating establishment german empire 1871 prioritized use military force realpolitik democratic reforms bismarcks policy blood iron emphasized strength state military achieving national unity rather relying people democratic processes shift towards authoritarian form nationalism seen reaction failures 1848 revolutions desire stability order face social political upheaval nationalism germany became increasingly associated notions strength power rather principles democracy popular sovereignty,correct
12,merchants commercial classes german states faced various obstacles economic exchange due lack uniform systems one major issue existence multiple currencies differing weights measures across different territories within german states lack uniformity made difficult merchants conduct trade efficiently leading confusion delays transactions additionally varying trade regulations tariffs imposed individual german states created barriers commerce one example challenges faced merchants german states case hanseatic league powerful trading alliance merchant guilds operated northern europe medieval period hanseatic league navigate complex trade regulations taxes imposed numerous principalities cities german states making difficult establish standard trading practices across region lack uniformity hindered growth commerce economic prosperity german states,merchants commercial classes german states encountered obstacles economic exchange due absence uniform systems lack standardized currencies weights measures made challenging merchants conduct transactions smoothly additionally presence differing trade regulations tariffs german state heightened complexity trading within region,correct
13,past revolts peasants workers primarily driven oppression exploitation desire basic rights better living conditions revolts often took form violent uprisings ruling classes nobility bourgeoisie hand role envisioned emerging middle class bringing social economic change gradual peaceful middle class comprising professionals entrepreneurs educated individuals seen force progressive reform modernization expected advocate democratic values social mobility economic liberalization legal political channels influence stems economic power education growing political awareness unlike peasants workers sought immediate relief miserable conditions middle class aims shape society ideas intellectual discourse participation political process likely push reforms areas education healthcare infrastructure rather outright revolution,historical revolts peasants workers often driven desperation struggle survival oppressive systems feudalism early capitalism revolts typically violent aimed overthrowing ruling classes nobility emerging bourgeoisie contrast role envisioned emerging middle class driving social economic change gradual works within existing political economic frameworks middle class consisting professionals entrepreneurs educated individuals seen force progressive reform modernization influence stems economic power education growing political awareness unlike peasants workers sought immediate relief miserable conditions middle class aims shape society ideas intellectual discourse participation political process likely push reforms areas education healthcare infrastructure economic liberalization legal political channels rather outright revolution middle class expected advocate democratic values social mobility equitable distribution resources within confines existing system,correct
14,culture played significant role development nationalist ideas providing sense shared identity history language traditions helped unite people quest independence selfdetermination,culture played crucial role development nationalist ideas allowed communities bond common customs beliefs symbols fostering sense unity solidarity necessary challenging colonial rule,correct
15,various groups rallied around liberal radical parties early 19th century including progressive intellectuals workers unions middleclass reformers seeking political change social equality,late 19th century conservative monarchists wealthy elites main supporters liberal radical parties aiming maintain status quo suppress movements political change,incorrect
16,rohilkhand region northern india 18th century located presentday uttar pradesh mainly inhabited rohilla pashtuns led chief hafiz rahmat khan rohillas renowned military prowess played significant role politics region time,18th century rohilkhand prominent region northern india situated uttar pradesh primarily inhabited rohilla pashtuns leadership notable figures hafiz rahmat khan rohillas known military skills involved various power struggles area,correct
17,nationalism evolved last quarter nineteenth century result increased communication transportation leading stronger sense national identity among citizens,nationalism evolved last quarter nineteenth century solely due economic factors expansion trade industry led competition among nations,incorrect
18,1630 ce maharashtra struck severe famine caused drought poor monsoons calamity resulted widespread crop failures leading food shortages starvation among local population marathas leadership chhatrapati shivaji maharaj worked tirelessly provide relief efforts aid affected communities crisis,1630 ce maharashtra faced major disaster caused natural calamities including drought failed monsoons event led food shortages economic hardships local population leadership chhatrapati shivaji maharaj instrumental initiating relief measures support affected communities,partially correct
19,shivaji maharaj decided march surat order loot wealthy mughal port city weaken mughal empire outcome campaign successful shivaji maratha forces managed plunder city seizing immense wealth resources victory enriched maratha kingdom also established shivaji formidable leader region intimidating mughals,shivaji maharaj chose march surat attack portuguese trading posts expand influence region campaign resulted victory shivaji maratha forces able seize valuable resources treasures conquest increased shivajis stature prominent leader defying dominance portuguese area,partially correct
20,important technological advancements nineteenth century transformed world include invention steam engine development telegraph creation light bulb construction first transcontinental railroad,significant technological advancements nineteenth century transformed world include steam engine telegraph light bulb transcontinental railroad,correct
21,debates within national assembly regarding extension rights man french subjects colonies marked deep reluctance hesitation reluctance stemmed complex interplay economic political ideological factors economic front colonial system source immense wealth prosperity france plantations colonies particularly caribbean heavily reliant forced labor enslaved africans extending rights man colonies would threatened foundation lucrative system many within assembly unwilling jeopardize politically assembly wary granting much autonomy colonial populations fearing could lead demands independence challenges french authority colonial elites wielded significant influence also vehemently opposed reforms would undermine power privilege ideologically prevailing racist attitudes beliefs inherent inferiority noneuropean populations played significant role reluctance extend equal rights many within assembly subscribed notion colonies inhabitants ready principles liberty equality fraternity espoused revolution furthermore concerns granting rights enslaved population could lead widespread uprisings violence witnessed earlier slave revolts french caribbean fear potential unrest instability contributed hesitation within assembly despite reservations debates within national assembly eventually led concessions enfranchisement free people color colonies however extension full rights enslaved population remained contentious issue reflecting deeprooted tensions contradictions ideals revolution harsh realities colonial system,national assemblys reluctance extend rights man french subjects colonies primarily due logistical administrative challenges vast geographical distances france colonies made difficult implement enforce new laws policies effectively additionally concerns potential language barriers cultural differences could hinder successful implementation rights man colonies assembly feared colonial populations might fully understand embrace principles liberty equality fraternity espoused revolution furthermore assembly preoccupied ongoing political turmoil upheaval within france leaving little time resources address colonial matters extension rights colonies seen low priority compared pressing issues home ultimately assembly decided postpone significant reforms colonies opting instead maintain status quo focus domestic affairs question extending rights man french subjects colonies shelved indefinitely assembly lacked political practical means address complex issue,incorrect
22,freedom press played pivotal role allowing expression opposing views enabling different sides sway public opinion printed materials era revolution nationbuilding prior emergence free press dissemination information heavily controlled authorities limiting flow ideas stifling dissent advent free press various factions ideological groups gained access powerful platform articulate perspectives criticize existing power structures rally support causes pamphlets newspapers printed materials became vehicles intellectual discourse political commentary exchange ideas across wide spectrum viewpoints revolutionary thinkers political theorists capitalized newfound freedom challenge status quo propagate visions societal change thomas paines common sense federalist papers exemplify press enabled widespread distribution arguments galvanized public support independence shaped course american revolution furthermore free press facilitated formation public opinion allowing different sides engage open debates persuasive narratives political factions could counter opposing arguments refute misinformation present perspectives attempt sway masses dynamic exchange ideas printed media played crucial role shaping discourse surrounding pivotal events like ratification constitution formation early american political system correct answer variation emergence free press gamechanger era revolution nationbuilding enabled expression diverse viewpoints allowed different ideological factions leverage power printed word influence public opinion prior dissemination information tightly controlled authorities suppressing dissent limiting exchange ideas advent free press various groups individuals gained access powerful platform articulate beliefs criticize existing power structures rally support causes pamphlets newspapers printed materials became crucial tools intellectual discourse political commentary sharing divergent perspectives across wide spectrum viewpoints revolutionary thinkers political theorists seized opportunity challenge status quo propagate visions societal change works like thomas paines common sense federalist papers exemplify free press enabled widespread distribution arguments ignited public support independence shaped trajectory american revolution moreover free press facilitated formation public opinion allowing different sides engage open debates present persuasive narratives political factions could counter opposing arguments refute misinformation present perspectives attempt sway masses dynamic exchange ideas printed media played pivotal role shaping discourse surrounding critical events like ratification constitution emergence early american political system partial,freedom press little impact expression opposing views ability different sides convince others printed materials era revolution nationbuilding despite emergence free press dissemination information remained heavily controlled authorities limiting flow ideas dissent printed materials pamphlets newspapers primarily used propaganda purposes power rather platform diverse viewpoints intellectual discourse revolutionary thinkers political theorists faced significant obstacles disseminating ideas garnering public support printed media ability different sides sway public opinion printed materials severely limited due factors low literacy rates limited accessibility printed materials dominance certain viewpoints press result exchange ideas formation public opinion primarily shaped factors oral traditions social movements influence key figures impact free press allowing expression opposing views enabling different sides convince others printed materials negligible era means communication influence public speeches rallies personal networks played significant role shaping course events driving change,incorrect
23,watandar officers peth influential landowners maratha empire granted hereditary rights collect revenue specific territory officers played crucial role administration governance respective regions acting intermediaries common people ruling authorities positions typically passed generations solidifying status power within local community,watandar officers peth key figures feudal structure maratha empire responsible managing revenue collection administration designated territories officers held significant sway local population operated vital link imperial administration grassroots level roles hereditary ensuring level stability continuity governance within peth,correct
24,sambhaji maharaj born may 14 1657 purandar fort near pune india eldest son chhatrapati shivaji maharaj founder maratha empire,sambhaji maharaj born 16th century delhi india son local nobleman connection chhatrapati shivaji maharaj,incorrect
25,sardiniapiedmont took lead italian unification movement due several factors firstly region relatively stable government seen beacon liberalism italy ruler king victor emmanuel ii charismatic visionary leader committed idea unified italy chief minister count camillo di cavour skilled diplomat played crucial role forming alliances securing support european powers together victor emmanuel ii cavour able navigate complex political landscape europe ultimately achieve unification italy,sardiniapiedmont became leader italian unification movement king victor emmanuel ii chief minister cavour able conquer italian states military force aggressive tactics strategic planning ultimately led successful unification italy sardiniapiedmonts rule,incorrect
26,liberals radicals valued individual freedom fundamental right opposing arbitrary privileges enjoyed aristocracy solely based birth believed meritocracy equality opportunity rejecting notion inherited status advocating society individuals could advance based talents hard work perspective influenced ideas societal change promoting democratic reforms minimizing role monarchy establishing legal systems based individual rights rather traditional class divisions advocated abolition feudal systems serfdom forms oppression seeking create egalitarian society social mobility equal legal protection citizens,liberals radicals place much emphasis individual freedom oppose privileges old aristocracy believed maintaining traditional social hierarchy inherited status nobility ideas societal change focused preserving existing power structures class divisions advocate legal economic reforms would promote equality challenge established order based birth aristocratic privilege,incorrect
27,protoindustrialization phase economic development rural households produced goods wider market rise factories involved decentralized production methods rural areas utilizing family labor producing goods like textiles metalwork ceramics system laid foundation later factorybased industrialization introducing division labor mechanization capitalist modes production factorybased industrialization hand transition largescale mechanized production centralized factories characterized wage labor rapid urbanization,protoindustrialization early form industrialization relied heavily use advanced machinery centralized factories characterized largescale production goods textiles metals using steampowered technologies system differed factorybased industrialization focused manual labor decentralized production methods rural areas transition protoindustrialization factorybased industrialization marked shift towards smaller familyowned businesses artisanal work,incorrect
28,headquarters khalsa dal located amritsar punjab india served center organizing military political activities sikh community 18th 19th centuries,headquarters khalsa dal situated amritsar punjab india central hub planning military strategies political movements sikh community 18th 19th centuries,correct
29,1905 revolution russia significant event forced tsar nicholas ii make several concessions appease growing discontent among masses one notable concessions creation elected consultative parliament known duma duma limited powers allowed representation people government seen step towards constitutional monarchy although tsar retained significant authority additionally 1905 revolution led legalization trade unions emergence factory committees organizations gave workers platform voice grievances demand better working conditions wages trade unions factory committees played crucial role organizing strikes protests driving force behind revolution concessions significant go far enough fully address demands revolutionary movement dumas power limited tsar could still dissolve moreover legalization trade unions factory committees seen temporary measure pacify workers rather genuine commitment reform,1905 revolution russia tsar nicholas ii made significant concessions appease growing discontent among masses creation elected consultative parliament known duma result revolution legalization trade unions emergence factory committees tsar maintained firm grip power allow representation people government workers organizations remained illegal strikes protests met harsh repression authorities 1905 revolution ultimately suppressed without major reforms concessions granted tsar demands revolutionary movement completely ignored autocratic rule romanov dynasty continued unabated,incorrect
30,gandhi successfully implemented method nonviolent civil disobedience south africa core principle resistance peaceful means,gandhi successfully implemented method nonviolent protest south africa core principle passive resistance unjust laws,correct
31,shivaji maharaj known compassion sense duty towards soldiers soldiers died battle made sure families taken care established system families deceased soldiers provided pension forms support showed gratitude towards soldiers fought also ensured families left destitute shivaji maharaj believed honoring sacrifice soldiers reflected took care families even death,shivaji maharaj strong sense responsibility towards soldiers died battle established system provide families deceased soldiers ensuring received pension forms support compassionate approach towards families fallen soldiers reflected respect sacrifice dedication welfare served,correct
32,emerging middle classes 19th century demanded better working conditions higher wages opportunities upward mobility rapidly industrializing economies,major economic demand emerging middle classes 19th century lower taxes reduced government intervention economy,incorrect
33,weavers revolt silesia 1845 significant event showcased struggles faced workers textile industry industrial revolution journalist wilhelm wolff documented harsh working conditions low wages weavers endured leading decision go strike weavers demanded fair wages better working conditions end exploitation contractors protest escalated fullblown revolt weavers organizing demonstrations sabotaging machinery factories contractors responded hiring extra security forces suppress revolt resulting violent clashes weavers authorities many weavers arrested injured even killed protests despite harsh crackdown contractors weavers revolt sparked wider conversation workers rights paved way future labor movements silesia,1855 weavers silesia documented wilhelm wolff rose oppressive practices contractors weavers facing abysmal working conditions inadequate wages decided protest contractors going strike organizing demonstrations contractors response weavers demands heightened security measures cracked protests leading violent clashes weavers authorities weavers revolt though met fierce resistance shed light plight workers textile industry sparked discussions labor rights,partially correct
34,rani karnavati led defense siddi jauhars army ghod pass despite outnumbered army fought bravely battle resulted valiant effort rani karnavati troops unfortunately defeated,rani karnavati one led defense siddi jauhars army ghod pass battle ended defeat rani karnavati forces,correct
35,ideas national unity abolition aristocratic privileges gained popularity among bourgeoisie social group french revolution,ideas national unity abolition aristocratic privileges gained popularity among nobility social group french revolution,incorrect
36,najib khan prominent afghan tribal chief played significant role instigating ahmad shah durranis also known ahmad shah abdali invasion india 1761 key ally abdali provided military support strategic advice logistical assistance campaign,najib ahmed minor advisor significant role ahmad shahs invasion india 1761 primarily known administrative work local government little involvement military strategic matters,incorrect
37,liberals radicals firmly believed importance individual effort labor enterprise believed individuals freedom pursue economic opportunities success based ones hard work innovation rather hindered government intervention,liberals radicals firmly held belief individual effort labor enterprise essential economic progress believed individuals opportunity work hard take risks order achieve success without overly regulated government,correct
38,napoleon bonaparte became military dictator rose power directory france,following fall directory napoleon bonaparte established dominant military leader france,partially correct
39,rapid increase demand foodgrains france period primarily due population growth urbanization leading higher consumption levels,rapid increase demand foodgrains france period mainly driven population growth industrialization resulting greater need food supplies,correct
40,giuseppe mazzini,giuseppe mazzini,correct
41,system advances allowed east india company exploit weavers providing loans high interest rates leading dependency relationship weavers forced sell goods company low prices,system advances created financial tie weavers east india company resulting company significant influence textile industry india,partially correct
42,reign sambhaji maharaj faced adversaries external powers mughal empire led aurangzeb internal dissent nobles courtiers unhappy leadership,sambhaji maharaj faced adversaries primarily ottoman empire british east india company reign,incorrect
43,strikes demonstrations petrograd february 1917 sparked combination food shortages dissatisfaction war effort anger towards monarchy,strikes demonstrations petrograd february 1917 result protests bread shortages overall discontent russian governments handling war,partially correct
44,parallel revolution underway alongside revolts workers peasants 1848 spread liberal nationalist movements across europe,revolution workers peasants 1848 accompanied rise nationalist movements europe leading political upheaval,partially correct
45,workers envisioned swaraj complete selfrule free foreign influence exploitation believed economic equality social justice labor rights emphasizing empowerment working class swaraj workers meant collective ownership resources improved wages working conditions right participate decisionmaking processes vision placed workers forefront movement independence challenging congress conservative elitedriven agenda,workers visions swaraj similar congress programme aiming political independence british colonial rule imagined swaraj state ruling elite including industrialists landowners would power control workers actively involved shaping vision concerns demands largely ignored leadership independence movement,incorrect
46,one factor contribute collective identity common culture among diverse peoples living within territories habsburg empire significant ethnic linguistic religious diversity population empire home wide array ethnic groups including germans hungarians czechs poles romanians croats serbs slovaks italians others distinct cultural traditions languages diversity made challenging foster sense unity common identity among various groups within empire,one factor contribute collective identity common culture among diverse peoples living within territories habsburg empire existence multiple competing national identities empire encompassed range nationalities ethnic groups sense identity loyalty respective nations diversity national identities made difficult establish cohesive sense shared culture identity across empire,correct
47,french merchants sailed ports nantes bordeaux african coast buy slaves,french merchants sailed marseille nice african coast buy slaves,incorrect
48,shivaji maharaj supported agriculture rural economy kingdom various measures implemented land reforms ensure fair distribution land amongst farmers thereby increasing agricultural productivity also encouraged use advanced irrigation techniques improve water supply farming resulting better crop yields additionally shivaji maharaj provided financial assistance subsidies farmers help purchase seeds tools agricultural equipment promoted establishment agricultural research centers introduce modern farming methods technologies increase efficiency overall shivaji maharajs support agriculture rural economy played crucial role economic development kingdom,shivaji maharaj supported agriculture rural economy kingdom implementing land reforms encouraging advanced irrigation techniques providing financial assistance farmers promoting adoption modern farming methods measures helped enhance agricultural productivity improve overall economic condition rural population rule,correct
49,purpose secret societies sprang across european states promote political activism advocate social change often response oppressive governments,secret societies emerged european states formed push political reforms fight authoritarian rule,correct
50,sambhaji maharaj abandon campaign janjira due sudden death father chhatrapati shivaji maharaj 1680 following shivaji maharajs death sambhaji return raigad ascend throne new maratha ruler prioritizing stability empire continuing military campaign decision crucial ensuring smooth transition power maintaining strength maratha empire,sambhaji maharaj abandoned campaign janjira due lack resources support maratha leaders ongoing conflict siddis janjira proved difficult overcome forcing sambhaji retreat focus priorities,incorrect
51,east india companys monopolistic control textile trade india severe consequences weaving communities company enforced policies prioritized procurement raw materials like cotton silk low prices export britain also imposed stringent regulations taxes indian weavers effectively making work informal labourers company exploitation led decline economic status living conditions weavers celebrated craftsmanship companys actions also disrupted traditional systems production distribution leading widespread unemployment poverty among weavers displacement skilled artisans decline craft fueled resentment resistance companys oppressive policies discontent manifested various forms protests revolts weaving communities across india notable examples include calico uprising bengal 1659 weavers protested companys attempts undercut products surat uprising 1673 weavers artisans rebelled companys monopolistic practices unjust taxation clashes revolts merely economic protests also resistance cultural social disruptions caused companys exploitative policies weavers saw centuriesold traditions skills livelihoods eroded leading sense collective identity determination fight rights,east india companys control textile trade india significant impact weaving communities companys policies designed promote growth prosperity indian weavers craftsmanship company provided financial support resources weaving communities enabling flourish produce highquality textiles export actions company lead clashes revolts among weaving communities instead weavers welcomed companys involvement textile trade provided new opportunities markets products companys policies widely accepted appreciated weaving communities saw economic status living conditions improve significantly instances protests uprisings companys policies weavers content companys support benefits brought craft relationship company weaving communities harmonious mutually beneficial significant conflicts disruptions,incorrect
52,local populations initially mixed reactions french rule conquered areas embracing french presence economic opportunities modernization others resisted due loss autonomy cultural imposition,initially local populations mostly negative reaction french rule conquered areas pockets support emerging later due economic developments introduced colonial administration,partially correct
53,social group emerged 18th century earned wealth trade manufacturing bourgeoisie class included industrialists merchants professionals played significant role economic transformation europe industrial revolution known entrepreneurial spirit contributions societys progress,18thcentury social group earned wealth trade manufacturing aristocracy traditionally landowners inherited wealth many aristocrats diversified investments participating commerce industry period,partially correct
54,stalins program launched 1929 agriculture called collectivization agriculture collectivization campaign,stalins program 1929 agriculture called industrialization initiative focusing growth industrial sector agriculture,incorrect
55,rise factories england early 19th century profound impact landscape society firstly establishment largescale factories particularly textile industry led rapid urbanization previously rural areas towns cities grew rapidly around factories leading overcrowding poor living conditions environmental degradation concentration production within factories brought significant changes labor supervision quality control factory owners able closely monitor control work process ensuring high degree efficiency standardization division labor use specialized machinery allowed greater productivity output however also led deskilling workers became mere operators machines performing repetitive tasks factory system also significant impact lives workers strict discipline long working hours often harsh unsafe conditions led widespread discontent social unrest children women frequently employed factories facing exploitation abuse factory system also contributed rise distinct working class workers facing poor living conditions low wages despite negative aspects concentration production within factories allowed greater quality control overall efficiency centralized production standardized processes facilitated mass production goods leading increased availability affordability consumer products,rise factories england early 19th century significant impact landscape society establishment largescale factories particularly textile industry led rapid growth urban areas around industrial centers towns cities expanded quickly often without proper planning leading overcrowding poor living conditions many workers concentration production within factories allowed greater control labor process quality goods produced factory owners could closely monitor supervise workers ensuring certain level efficiency consistency output however also led deskilling workers became mere operators machines performing repetitive tasks factory system profound effect lives workers long working hours strict discipline often dangerous conditions children women commonly employed factories facing exploitation abuse emergence distinct working class workers facing low wages limited opportunities social mobility also consequence factory system factory system brought many challenges contribute increased efficiency productivity manufacturing centralization production use specialized machinery enabled mass production goods making consumer products widely available affordable,partially correct
56,sardiniapiedmont took lead italian unification movement due several factors firstly region relatively stable government seen beacon liberalism italy ruler king victor emmanuel ii charismatic visionary leader committed idea unified italy chief minister count camillo di cavour skilled diplomat played crucial role forming alliances securing support european powers together victor emmanuel ii cavour able navigate complex political landscape europe ultimately achieve unification italy,sardiniapiedmont emerged leader unification movement italy primarily stable government progressive policies king victor emmanuel ii chief minister cavour instrumental driving movement forward victor emmanuel iis leadership cavours diplomatic skills essential building alliances garnering support cause italian unification,correct
57,factors led weakening uss financial position collapse fixed exchange rate system postwar period included overprinting money excessive government spending trade deficits increasing public debt inability us maintain gold standard,factors led weakening uss financial position collapse fixed exchange rate system postwar period mainly attributed growing trade deficits overprint money increasing public debt inability sustain bretton woods system,correct
58,complex interplay nationalist aspirations territorial ambitions great power rivalries balkans significantly contributed outbreak first world war nationalist movements balkan region sought break away ottoman habsburg control leading series conflicts power struggles fierce competition major european powers particularly austriahungary russia gain influence balkans escalated tensions assassination archduke franz ferdinand austriahungary sarajevo 1914 bosnian serb nationalist served catalyst war event triggered chain reaction alliances declarations war ultimately leading outbreak first world war,nationalist aspirations territorial ambitions great power rivalries balkans key factors influenced outbreak first world war nationalist movements balkans particularly seeking independence ottoman habsburg rule created volatile environment region competition major european powers dominance balkans austriahungary russia complicated situation however factors alliance systems militarism europe also played significant roles outbreak war,partially correct
59,chandbibi belonged ahmednagar sultanate medieval indian kingdom located deccan region courageous queen regent ahmednagar sultanate ruled 1596 1600,chandbibi belonged nizamshahi dynasty ahmednagar sultanate late 16th century known bravery strategic acumen defending kingdom mughal forces battle ahmednagar 1596,correct
60,1630 ce maharashtra struck severe famine caused drought poor monsoons calamity resulted widespread crop failures leading food shortages starvation among local population marathas leadership chhatrapati shivaji maharaj worked tirelessly provide relief efforts aid affected communities crisis,1630 ce maharashtra hit series earthquakes caused widespread destruction loss life calamity resulted displacement many residents significant damage infrastructure across region ruling authorities time struggled manage aftermath disaster effectively,incorrect
61,german industrial production reduced around 40 1932 result economic crisis began wall street crash 1929 significant decrease industrial output contributed widespread downturn german economy early years great depression depression germany exacerbated factors widespread unemployment banking failures decrease international trade,german industrial production experienced reduction approximately 40 1932 consequence economic crisis swept across country aftermath wall street crash 1929 sharp decline industrial output severe consequences german economy leading widespread unemployment bankruptcies social unrest early years great depression,correct
62,1 american revolution constitution served powerful inspiration political thinkers france showcasing possibility overthrowing absolute monarchy establishing government based principles individual rights limited power 2 ideals liberty equality pursuit happiness enshrined declaration independence resonated deeply french intellectuals disillusioned oppressive regime french monarchy 3 concept written constitution outlining structure government guaranteeing certain inalienable rights citizens revolutionary idea challenged traditional notions absolute monarchy divine right kings 4 system checks balances power divided among different branches government seen model limiting concentration power preventing abuse authority 5 success american revolution establishment stable republican government provided practical example french thinkers advocating similar political reforms country correct answer variation 1 triumph american revolution creation united states constitution profoundly influenced political thinkers france serving beacon hope seeking replace absolute monarchy government founded individual liberties limited power 2 declaration independences proclamation unalienable rights life liberty pursuit happiness struck chord french intellectuals increasingly critical oppressive arbitrary rule french monarchy 3 concept written constitution delineating structure government safeguarding fundamental rights citizens revolutionary notion challenged traditional belief divine right kings absolute monarchical authority 4 principle separation powers different branches government acting checks balances seen model preventing concentration power curbing potential abuses authority 5 successful establishment stable republican government america provided practical demonstration french thinkers advocating similar political reforms inspiring pursue revolution reshape french political landscape partial,1 american revolution constitution little influence political thinkers france primarily focused domestic issues challenges 2 ideals individual rights limited government particularly relevant french intellectual discourse concerned issues social inequality class struggles 3 concept written constitution seen significant development france already established legal traditions systems governance 4 success american revolution viewed skepticism french thinkers believed radical upheaval would unlikely succeed country 5 instead drawing inspiration american experience french thinkers influenced ideas enlightenment philosophers like rousseau voltaire visions political social reform,incorrect
